City,State/Province/County (optional),Country,Label,Place ID,Latitude,Longitude
Abidjan,,Ivory Coast,"Abidjan, Ivory Coast",abidjan_ivory_coast,5.3599517,-4.0082563
Accompong,,Jamaica,"Accompong, Jamaica",accompong_jamaica,18.2278534,-77.7509303
Accra,,Ghana,"Accra, Ghana",accra_ghana,5.6037168,-0.1869644
Addis-Abeba,,Ethiopia,"Addis-Abeba, Ethiopia",addis_abeba_ethiopia,8.9806034,38.7577605
Amsterdam,,Holland,"Amsterdam, Holland",amsterdam_holland,,
Angoulême,,France,"Angoulême, France",angouleme_france,,
Auschwitz,,Poland,"Auschwitz, Poland",auschwitz_poland,50.0274106,19.2019829
Avignon,,France,"Avignon, France",avignon_france,43.949317,4.805528
Basse-Pointe,,Martinique,"Basse-Pointe, Martinique",basse_pointe_martinique,14.8672508,-61.1155622
Basseterre,,St. Kitts and Nevis,"Basseterre, St. Kitts and Nevis",basseterre_st_kitts_and_nevis,17.3026058,-62.7176924
Belfast,,Northern Ireland,"Belfast, Northern Ireland",belfast_northern_ireland,54.597285,-5.93012
Berlin,,Germany,"Berlin, Germany",berlin_germany,52.5200066,13.404954
Bologna,,Italy,"Bologna, Italy",bologna_italy,44.494887,11.3426162
Boston,Massachusetts,USA,"Boston, Massachusetts, USA",boston_massachusetts_usa,42.3600825,-71.0588801
Bournemouth,,England,"Bournemouth, England",bournemouth_england,50.719164,-1.880769
Bremen,,Germany,"Bremen, Germany",bremen_germany,53.0792962,8.8016936
Bridgetown,,Barbados,"Bridgetown, Barbados",bridgetown_barbados,13.0968511,-59.6144819
Brooklyn,New York,USA,"Brooklyn, New York, USA",brooklyn_new_york_usa,40.6781784,-73.9441579
Brussels,,Belgium,"Brussels, Belgium",brussels_belgium,50.8503463,4.3517211
Bucarest,,Romania,"Bucarest, Romania",bucarest_romania,44.4267674,26.1025384
Buenos Aires,,Argentina,"Buenos Aires, Argentina",buenos_aires_argentina,-34.6036844,-58.3815591
Cambridge,,England,"Cambridge, England",cambridge_england,52.205337,0.121817
Cambridge,Massachusetts,USA,"Cambridge, Massachusetts, USA",cambridge_massachusetts_usa,42.3736158,-71.1097335
Carbondale,Illinois,USA,"Carbondale, Illinois, USA",carbondale_illinois_usa,37.7272727,-89.2167501
Carmel,California,USA,"Carmel, California, USA",carmel_california_usa,36.5552386,-121.9232879
Castries,,Saint Lucia,"Castries, Saint Lucia",castries_saint_lucia,14.0101094,-60.9874687
Chicago,Illinois,USA,"Chicago, Illinois, USA",chicago_illinois_usa,41.8781136,-87.6297982
Cincinnati,Ohio,USA,"Cincinnati, Ohio, USA",cincinnati_ohio_usa,39.1031182,-84.5120196
Cleveland,Ohio,USA,"Cleveland, Ohio, USA",cleveland_ohio_usa,41.49932,-81.6943605
Copenhagen,,Denmark,"Copenhagen, Denmark",copenhagen_denmark,55.6760968,12.5683372
Covington,Kentucky,USA,"Covington, Kentucky, USA",covington_kentucky_usa,39.0836712,-84.5085536
CowPastor,,Barbados,"CowPastor, Barbados",cowpastor_barbados,13.193887,-59.543198
Dakar,,Senegal,"Dakar, Senegal",dakar_senegal,14.716677,-17.4676861
Detroit,Michigan,USA,"Detroit, Michigan, USA",detroit_michigan_usa,42.331427,-83.0457538
East St. Louis,Illinois,USA,"East St. Louis, Illinois, USA",east_st_louis_illinois_usa,38.624514,-90.1506465
Eschenau,,Austria,"Eschenau, Austria",eschenau_austria,48.04875,15.56751
